exemption_id,exemption_name,eligible_persons,applies_to_category_id,conditions,legal_reference,notes
1,Returning Resident Rebate,Zimbabwean citizens/permanent residents returning after 2+ years abroad,101,"One motor vehicle per family, owned/used for 12+ months prior to return, imported within specified window","Customs and Excise (Rebate) Regulations, SI 257 of 2003 (as amended)",Duty-free import limited to one vehicle; VAT may still apply in some cases
2,Physically Handicapped Persons Vehicle Suspension,Persons certified as physically handicapped by a medical practitioner,101,Vehicle must be adapted or suited to the disability; suspension of Customs Duty and Surtax only (not VAT); 5-year disposal restriction,"Customs and Excise Act [Chapter 23:02], Suspension Regulations",Application made directly to the ZIMRA Commissioner
3,Diplomatic and International Organisation Privileges,Accredited diplomats and staff of designated international organisations,,Goods for official or personal use within accredited diplomatic quota,Privileges and Immunities Act [Chapter 3:03],Administered via Ministry of Foreign Affairs clearance letter
4,Investment Capital Equipment Rebate,Holders of a valid ZIDA investment licence,5,Capital equipment imported for an approved investment project within the approval period,Customs and Excise (Rebate) Regulations - Capital Equipment,Requires ZIDA-endorsed equipment list
5,Donations to Registered Charities/NGOs,Registered Private Voluntary Organisations (PVOs) and approved NGOs,,"Goods donated for humanitarian relief, not for resale; PVO registration certificate required",Customs and Excise (Rebate) Regulations - Donated Goods,Subject to ZIMRA verification of end use
6,Personal Effects and Household Goods on Relocation,Persons taking up permanent residence in Zimbabwe,8,"Used personal/household effects owned for 6+ months prior to importation, not for resale",Customs and Excise (Rebate) Regulations - Personal Effects,"Excludes motor vehicles, which fall under separate rebate"
7,Agricultural Equipment Duty Rebate,Registered commercial and communal farmers,501,Equipment used exclusively for primary agricultural production,Customs and Excise (Rebate) Regulations - Agricultural Equipment,Administered jointly with Ministry of Agriculture
8,Solar and Renewable Energy Equipment Incentive,All importers,504,"Solar panels, batteries and related renewable energy equipment for own use or resale",Finance Act [Chapter 23:04] - Renewable Energy Incentives,Duty-free; VAT treatment may vary by component
9,Medical Donations and Government Health Procurement,"MOHCC, registered hospitals, and approved health NGOs",6,"Medicines and medical equipment for public health use, not for commercial resale",Customs and Excise (Rebate) Regulations - Medical Donations,
10,Mission of Mercy / Disaster Relief Goods,Government-declared disaster relief operations,,Goods imported specifically for declared national disaster relief efforts,Civil Protection Act [Chapter 10:06],Time-bound exemption tied to declared disaster period
