agency_id,agency_name,acronym,role_description,oversees_categories,website,contact_note
1,Zimbabwe Revenue Authority,ZIMRA,"Primary customs authority; assesses and collects customs duty, surtax, excise duty and import VAT under the Customs and Excise Act [Chapter 23:02]",All imports,www.zimra.co.zw,Administers ASYCUDA World e-clearance system
2,Ministry of Health and Child Care,MOHCC,"Regulates importation of medicines, medical devices and controlled drugs; issues import permits for health commodities",Pharmaceuticals;Medical,www.mohcc.gov.zw,Works with MCAZ for product registration
3,Medicines Control Authority of Zimbabwe,MCAZ,"Registers and licenses all pharmaceuticals, medical devices and complementary medicines imported into Zimbabwe",Pharmaceuticals;Medical;Cosmetics,www.mcaz.co.zw,Import permit mandatory before clearance
4,Environmental Management Agency,EMA,"Regulates importation of hazardous substances, e-waste, ozone-depleting substances and enforces environmental levies/carbon tax compliance",Chemicals;Electronics;Vehicles,www.ema.co.zw,Issues hazardous substances import licences
5,Standards Association of Zimbabwe,SAZ,Conformity assessment body; certifies that imported goods meet Zimbabwean/regional quality and safety standards,Electronics;Building Materials;Foodstuffs;Toys,www.saz.org.zw,SAZ mark required for certain regulated products
6,Department of Veterinary Services,DVS,"Issues import permits for live animals, animal products and animal feed; enforces sanitary requirements",Live Animals;Food & Beverages,www.moa.gov.zw,"Part of Ministry of Lands, Agriculture, Fisheries, Water and Rural Development"
7,Plant Quarantine Services Institute,PQSI,"Issues phytosanitary certificates and import permits for plants, seeds, fresh produce and agricultural inputs",Agricultural Inputs;Food & Beverages,www.moa.gov.zw,Import permit required before shipment
8,Zimbabwe Republic Police - Central Firearms Registry,ZRP-CFR,"Regulates and licenses the importation of firearms, ammunition and related components",Firearms & Ammunition,www.zrp.gov.zw,Firearms import permit required; strict quota controls
9,Central Vehicle Registry,CVR,Registers imported motor vehicles and verifies chassis/engine numbers against theft and compliance databases,Vehicles & Transport,www.zimra.co.zw/cvr,Works with ZIMRA and Vehicle Inspection Depot (VID)
10,Vehicle Inspection Depot,VID,Conducts roadworthiness and radiation/emission inspections for imported vehicles prior to registration,Vehicles & Transport,www.vid.gov.zw,Certificate of fitness required for registration
11,Consumer Protection Commission,CPC,"Protects consumers by monitoring product safety, labelling and fair trading of imported consumer goods",Electronics;Clothing & Textiles;Toys,www.cpc.gov.zw,Handles consumer complaints on imported goods
12,Postal and Telecommunications Regulatory Authority of Zimbabwe,POTRAZ,Type-approves and licenses importation of radio communication and telecommunication equipment,Electronics,www.potraz.gov.zw,Type-approval certificate required for radio-frequency devices
13,Broadcasting Authority of Zimbabwe,BAZ,Regulates importation of broadcasting equipment and decoders,Electronics,www.baz.co.zw,Licence required for broadcast transmission equipment
14,National Biotechnology Authority,NBA,Regulates importation of genetically modified organisms and biotechnology products,Agricultural Inputs;Food & Beverages,www.nba.ac.zw,GMO import permit required
15,Grain Marketing Board,GMB,"Statutory body with control over importation of strategic grain reserves (maize, wheat)",Food & Beverages,www.gmb.co.zw,Import licence required for bulk grain outside quota
16,Zimbabwe National Chamber of Commerce,ZNCC,"Issues Certificates of Origin used to support preferential tariff claims under SADC, COMESA and AfCFTA",All imports/exports,www.znccexpo.com,Certificate of Origin needed for preferential duty rates
17,Zimbabwe Investment and Development Agency,ZIDA,Approves investment projects that qualify for duty rebates/suspensions on imported capital equipment,Machinery & Industrial Equipment,www.zida.co.zw,Investment licence required to access capital-equipment rebates
18,Reserve Bank of Zimbabwe,RBZ,Central bank; publishes official interbank exchange rates used for customs valuation and manages exchange control,All imports,www.rbz.co.zw,Publishes daily USD/ZWG interbank exchange rate
19,Ministry of Mines and Mining Development,MMMD,"Regulates importation of explosives, mining chemicals and precious metal handling equipment",Chemicals;Machinery & Industrial Equipment,www.mines.gov.zw,Explosives import permit required
20,National Social Security Authority,NSSA,Not a clearing agency; referenced for importer compliance checks on commercial importers with local staff,All imports (commercial importers),www.nssa.org.zw,Relevant for customs bonded warehouse licensing checks
